filename , node, edge, degree, min_weight, time_in_sec 
100_5_0,100,250,5,4341,9.3e-05
100_5_1,100,250,5,4182,8.7e-05
100_5_2,100,250,5,4479,8e-05
100_5_3,100,250,5,3669,7.2e-05
100_5_4,100,250,5,4040,7.8e-05
100_5_5,100,250,5,4390,8e-05
100_5_6,100,250,5,4338,8.3e-05
100_5_7,100,250,5,5088,7.7e-05
100_5_8,100,250,5,3774,8.3e-05
100_5_9,100,250,5,4292,8.4e-05
100_5_10,100,250,5,4098,8.1e-05
100_5_11,100,250,5,4113,7.4e-05
100_5_12,100,250,5,4432,7.4e-05
100_5_13,100,250,5,4366,8e-05
100_5_14,100,250,5,5037,8.5e-05
100_5_15,100,250,5,4329,7.3e-05
100_5_16,100,250,5,4219,7.5e-05
100_5_17,100,250,5,4001,8.1e-05
100_5_18,100,250,5,4585,8.5e-05
100_5_19,100,250,5,4338,7.4e-05
100_5_20,100,250,5,4327,8.2e-05
100_5_21,100,250,5,4398,7.2e-05
100_5_22,100,250,5,4601,8e-05
100_5_23,100,250,5,3749,8e-05
100_5_24,100,250,5,4724,8e-05
100_5_25,100,250,5,4319,7.2e-05
100_5_26,100,250,5,4663,7.4e-05
100_5_27,100,250,5,4094,8e-05
100_5_28,100,250,5,4405,8e-05
100_5_29,100,250,5,4160,7.3e-05
100_5_30,100,250,5,4567,7.7e-05
100_5_31,100,250,5,4209,7.9e-05
100_5_32,100,250,5,4265,7.9e-05
100_5_33,100,250,5,4829,7.4e-05
100_5_34,100,250,5,3799,8.1e-05
100_5_35,100,250,5,4680,7e-05
100_5_36,100,250,5,4049,0.000107
100_5_37,100,250,5,4299,7.4e-05
100_5_38,100,250,5,3646,8e-05
100_5_39,100,250,5,5044,7.4e-05
100_5_40,100,250,5,4925,8.1e-05
100_5_41,100,250,5,4428,8e-05
100_5_42,100,250,5,3996,7.3e-05
100_5_43,100,250,5,4210,8e-05
100_5_44,100,250,5,4178,8.1e-05
100_5_45,100,250,5,4619,8e-05
100_5_46,100,250,5,4414,8.2e-05
100_5_47,100,250,5,4191,8e-05
100_5_48,100,250,5,4694,8e-05
100_5_49,100,250,5,4167,8.1e-05
100_5_50,100,250,5,4332,8.1e-05
100_5_51,100,250,5,4703,7.3e-05
100_5_52,100,250,5,3833,7e-05
100_5_53,100,250,5,4412,7.4e-05
100_5_54,100,250,5,4256,7.3e-05
100_5_55,100,250,5,4572,8.1e-05
100_5_56,100,250,5,4078,7.4e-05
100_5_57,100,250,5,3906,7.2e-05
100_5_58,100,250,5,4212,8e-05
100_5_59,100,250,5,4364,7.2e-05
100_5_60,100,250,5,5021,7.3e-05
100_5_61,100,250,5,4691,8.2e-05
100_5_62,100,250,5,4566,8.2e-05
100_5_63,100,250,5,4539,8.1e-05
100_5_64,100,250,5,4224,8.1e-05
100_5_65,100,250,5,4207,7.5e-05
100_5_66,100,250,5,4091,7.6e-05
100_5_67,100,250,5,3967,7.9e-05
100_5_68,100,250,5,4422,8.6e-05
100_5_69,100,250,5,3657,8e-05
