filename , node, edge, degree, min_weight, time_in_sec 
mst_100_200_0,100,200,0,305257,0.285237
mst_100_200_1,100,200,0,267595,0.237807
mst_100_200_2,100,200,0,295388,0.270688
mst_100_200_3,100,200,0,295459,0.261342
mst_100_200_4,100,200,0,265437,0.251021
mst_100_200_5,100,200,0,269982,0.27671
mst_100_200_6,100,200,0,289175,0.268729
mst_100_200_7,100,200,0,266357,0.278169
mst_100_200_8,100,200,0,277235,0.246171
mst_100_200_9,100,200,0,307473,0.272516
mst_100_200_10,100,200,0,263756,0.2588
mst_100_200_11,100,200,0,287348,0.24115
mst_100_200_12,100,200,0,332386,0.284881
mst_100_200_13,100,200,0,249090,0.265228
mst_100_200_14,100,200,0,261863,0.248477
mst_100_200_15,100,200,0,281768,0.247125
mst_100_200_16,100,200,0,258056,0.268208
mst_100_200_17,100,200,0,313555,0.234153
mst_100_200_18,100,200,0,295592,0.27127
mst_100_200_19,100,200,0,258569,0.242026
mst_100_200_20,100,200,0,300332,0.263583
mst_100_200_21,100,200,0,259151,0.243249
mst_100_200_22,100,200,0,281913,0.281043
mst_100_200_23,100,200,0,310763,0.262635
mst_100_200_24,100,200,0,289016,0.262346
mst_100_200_25,100,200,0,276783,0.282602
mst_100_200_26,100,200,0,238772,0.245881
mst_100_200_27,100,200,0,249945,0.21608
mst_100_200_28,100,200,0,254323,0.282296
mst_100_200_29,100,200,0,284515,0.253483
mst_100_200_30,100,200,0,278162,0.266565
mst_100_200_31,100,200,0,270928,0.283125
mst_100_200_32,100,200,0,270162,0.248621
mst_100_200_33,100,200,0,297190,0.254235
mst_100_200_34,100,200,0,247618,0.256724
mst_100_200_35,100,200,0,291053,0.250724
mst_100_200_36,100,200,0,270138,0.224933
mst_100_200_37,100,200,0,280352,0.220486
mst_100_200_38,100,200,0,264600,0.267825
mst_100_200_39,100,200,0,285251,0.27268
mst_100_200_40,100,200,0,270170,0.274186
mst_100_200_41,100,200,0,254991,0.273611
mst_100_200_42,100,200,0,282473,0.260741
mst_100_200_43,100,200,0,280143,0.25713
mst_100_200_44,100,200,0,299871,0.261323
mst_100_200_45,100,200,0,256538,0.25259
mst_100_200_46,100,200,0,287211,0.24332
mst_100_200_47,100,200,0,266164,0.316331
