filename , node, edge, degree, min_weight, time_in_sec 
mst_100_200_0,100,200,0,305257,6.5e-05
mst_100_200_1,100,200,0,267595,5.7e-05
mst_100_200_2,100,200,0,295388,5e-05
mst_100_200_3,100,200,0,295459,5e-05
mst_100_200_4,100,200,0,265437,4.8e-05
mst_100_200_5,100,200,0,269982,4.8e-05
mst_100_200_6,100,200,0,289175,4.9e-05
mst_100_200_7,100,200,0,266357,5e-05
mst_100_200_8,100,200,0,277235,4.9e-05
mst_100_200_9,100,200,0,307473,5e-05
mst_100_200_10,100,200,0,263756,5.1e-05
mst_100_200_11,100,200,0,287348,6.1e-05
mst_100_200_12,100,200,0,332386,5.7e-05
mst_100_200_13,100,200,0,249090,5.4e-05
mst_100_200_14,100,200,0,261863,5.8e-05
mst_100_200_15,100,200,0,281768,6e-05
mst_100_200_16,100,200,0,258056,5.7e-05
mst_100_200_17,100,200,0,313555,4.8e-05
mst_100_200_18,100,200,0,295592,5.7e-05
mst_100_200_19,100,200,0,258569,4.9e-05
mst_100_200_20,100,200,0,300332,5.4e-05
mst_100_200_21,100,200,0,259151,5.4e-05
mst_100_200_22,100,200,0,281913,8.8e-05
mst_100_200_23,100,200,0,310763,0.000214
mst_100_200_24,100,200,0,289016,0.000112
mst_100_200_25,100,200,0,276783,6.1e-05
mst_100_200_26,100,200,0,238772,0.00013
mst_100_200_27,100,200,0,249945,7.7e-05
mst_100_200_28,100,200,0,254323,5.4e-05
mst_100_200_29,100,200,0,284515,5.3e-05
mst_100_200_30,100,200,0,278162,5.2e-05
mst_100_200_31,100,200,0,270928,5.6e-05
mst_100_200_32,100,200,0,270162,5.1e-05
mst_100_200_33,100,200,0,297190,4.7e-05
mst_100_200_34,100,200,0,247618,4.8e-05
mst_100_200_35,100,200,0,291053,5.5e-05
mst_100_200_36,100,200,0,270138,5.2e-05
mst_100_200_37,100,200,0,280352,4.8e-05
mst_100_200_38,100,200,0,264600,4.8e-05
mst_100_200_39,100,200,0,285251,4.9e-05
mst_100_200_40,100,200,0,270170,4.9e-05
mst_100_200_41,100,200,0,254991,4.8e-05
mst_100_200_42,100,200,0,282473,4.9e-05
mst_100_200_43,100,200,0,280143,4.9e-05
mst_100_200_44,100,200,0,299871,5e-05
mst_100_200_45,100,200,0,256538,4.9e-05
mst_100_200_46,100,200,0,287211,4.7e-05
mst_100_200_47,100,200,0,266164,5.5e-05
mst_100_200_48,100,200,0,288183,6.7e-05
mst_100_200_49,100,200,0,257446,5.3e-05
mst_100_200_50,100,200,0,279044,5.4e-05
mst_100_200_51,100,200,0,290639,5.4e-05
mst_100_200_52,100,200,0,233779,5e-05
mst_100_200_53,100,200,0,290103,5e-05
mst_100_200_54,100,200,0,253212,4.9e-05
mst_100_200_55,100,200,0,284308,5e-05
mst_100_200_56,100,200,0,273734,6.8e-05
mst_100_200_57,100,200,0,257672,7.2e-05
mst_100_200_58,100,200,0,265721,0.000103
mst_100_200_59,100,200,0,292089,9.1e-05
mst_100_200_60,100,200,0,259392,8.2e-05
mst_100_200_61,100,200,0,302116,7.3e-05
mst_100_200_62,100,200,0,238599,8.4e-05
mst_100_200_63,100,200,0,311660,5.4e-05
mst_100_200_64,100,200,0,293131,8.5e-05
mst_100_200_65,100,200,0,279417,4.9e-05
mst_100_200_66,100,200,0,313270,4.9e-05
mst_100_200_67,100,200,0,283891,5e-05
mst_100_200_68,100,200,0,284598,5.1e-05
mst_100_200_69,100,200,0,250905,5.2e-05
mst_100_200_70,100,200,0,276739,5e-05
mst_100_200_71,100,200,0,279775,5.7e-05
mst_100_200_72,100,200,0,288187,5.7e-05
mst_100_200_73,100,200,0,303870,5.4e-05
mst_100_200_74,100,200,0,347062,0.000114
mst_100_200_75,100,200,0,244484,7.5e-05
mst_100_200_76,100,200,0,266414,7.3e-05
mst_100_200_77,100,200,0,277542,7.6e-05
mst_100_200_78,100,200,0,260787,8.4e-05
mst_100_200_79,100,200,0,305646,5.4e-05
mst_100_200_80,100,200,0,248041,4.4e-05
mst_100_200_81,100,200,0,268302,5.7e-05
mst_100_200_82,100,200,0,290324,6.6e-05
mst_100_200_83,100,200,0,262435,3.4e-05
mst_100_200_84,100,200,0,265043,4.5e-05
mst_100_200_85,100,200,0,261801,3.8e-05
mst_100_200_86,100,200,0,254641,3.5e-05
mst_100_200_87,100,200,0,278394,4.3e-05
mst_100_200_88,100,200,0,294464,4.1e-05
mst_100_200_89,100,200,0,289842,4.2e-05
mst_100_200_90,100,200,0,278701,4.2e-05
mst_100_200_91,100,200,0,288260,3.8e-05
mst_100_200_92,100,200,0,267965,4.1e-05
mst_100_200_93,100,200,0,262918,4.1e-05
mst_100_200_94,100,200,0,316471,5.2e-05
mst_100_200_95,100,200,0,262585,3.4e-05
mst_100_200_96,100,200,0,270657,3.4e-05
mst_100_200_97,100,200,0,248033,3.4e-05
mst_100_200_98,100,200,0,270376,5.2e-05
mst_100_200_99,100,200,0,285280,4.9e-05
mst_100_1000_0,100,1000,0,67302,0.000188
mst_100_1000_1,100,1000,0,76254,0.000195
mst_100_1000_2,100,1000,0,68940,0.000192
mst_100_1000_3,100,1000,0,71481,0.000191
mst_100_1000_4,100,1000,0,73679,0.000197
mst_100_1000_5,100,1000,0,77411,0.000185
mst_100_1000_6,100,1000,0,64065,0.000204
mst_100_1000_7,100,1000,0,66352,0.000151
mst_100_1000_8,100,1000,0,72523,0.00015
mst_100_1000_9,100,1000,0,62948,0.000146
mst_100_1000_10,100,1000,0,78525,0.000148
mst_100_1000_11,100,1000,0,70471,0.000148
mst_100_1000_12,100,1000,0,70436,0.000171
mst_100_1000_13,100,1000,0,64906,0.000151
mst_100_1000_14,100,1000,0,77817,0.000146
mst_100_1000_15,100,1000,0,69158,0.00015
mst_100_1000_16,100,1000,0,78484,0.000151
mst_100_1000_17,100,1000,0,70630,0.000148
mst_100_1000_18,100,1000,0,67908,0.000146
mst_100_1000_19,100,1000,0,56127,0.000149
mst_100_1000_20,100,1000,0,76634,0.00015
mst_100_1000_21,100,1000,0,61447,0.00015
mst_100_1000_22,100,1000,0,62315,0.000148
mst_100_1000_23,100,1000,0,64847,0.000153
mst_100_1000_24,100,1000,0,64215,0.000152
mst_100_1000_25,100,1000,0,67387,0.000154
mst_100_1000_26,100,1000,0,69440,0.000146
mst_100_1000_27,100,1000,0,71323,0.00015
mst_100_1000_28,100,1000,0,66182,0.000148
mst_100_1000_29,100,1000,0,65645,0.00015
mst_100_1000_30,100,1000,0,63859,0.00015
mst_100_1000_31,100,1000,0,74151,0.000153
mst_100_1000_32,100,1000,0,69735,0.000151
mst_100_1000_33,100,1000,0,72648,0.00019
mst_100_1000_34,100,1000,0,81195,0.000149
mst_100_1000_35,100,1000,0,63248,0.000141
mst_100_1000_36,100,1000,0,65806,0.00015
mst_100_1000_37,100,1000,0,71959,0.000161
mst_100_1000_38,100,1000,0,72469,0.000151
mst_100_1000_39,100,1000,0,74096,0.000148
mst_100_1000_40,100,1000,0,63417,0.000147
mst_100_1000_41,100,1000,0,76872,0.000199
mst_100_1000_42,100,1000,0,74423,0.000145
mst_100_1000_43,100,1000,0,70446,0.00015
mst_100_1000_44,100,1000,0,59594,0.000147
mst_100_1000_45,100,1000,0,74439,0.000147
mst_100_1000_46,100,1000,0,60865,0.000146
mst_100_1000_47,100,1000,0,67650,0.000145
mst_100_1000_48,100,1000,0,75897,0.000174
mst_100_1000_49,100,1000,0,72710,0.000153
mst_100_1000_50,100,1000,0,75699,0.000152
mst_100_1000_51,100,1000,0,68399,0.000147
mst_100_1000_52,100,1000,0,63445,0.000146
mst_100_1000_53,100,1000,0,69401,0.000145
mst_100_1000_54,100,1000,0,71462,0.000169
mst_100_1000_55,100,1000,0,67659,0.000153
mst_100_1000_56,100,1000,0,70294,0.000149
mst_100_1000_57,100,1000,0,68540,0.000208
mst_100_1000_58,100,1000,0,71733,0.00019
mst_100_1000_59,100,1000,0,65929,0.000194
mst_100_1000_60,100,1000,0,71034,0.000194
mst_100_1000_61,100,1000,0,76859,0.000179
