filename , node, edge, degree, min_weight, time_in_sec 
mst_100_200_0,100,200,0,305257,0.000136
mst_100_200_1,100,200,0,267595,0.000132
mst_100_200_2,100,200,0,295388,0.000114
mst_100_200_3,100,200,0,295459,0.000128
mst_100_200_4,100,200,0,265437,0.000135
mst_100_200_5,100,200,0,269982,0.000111
mst_100_200_6,100,200,0,289175,0.000103
mst_100_200_7,100,200,0,266357,0.00011
mst_100_200_8,100,200,0,277235,0.000101
mst_100_200_9,100,200,0,307473,0.000101
mst_100_200_10,100,200,0,263756,0.000144
mst_100_200_11,100,200,0,287348,0.000144
mst_100_200_12,100,200,0,332386,0.000125
mst_100_200_13,100,200,0,249090,0.00011
mst_100_200_14,100,200,0,261863,0.000101
mst_100_200_15,100,200,0,281768,0.000101
mst_100_200_16,100,200,0,258056,0.0001
mst_100_200_17,100,200,0,313555,9.5e-05
mst_100_200_18,100,200,0,295592,9.5e-05
mst_100_200_19,100,200,0,258569,0.000103
mst_100_200_20,100,200,0,300332,0.000102
mst_100_200_21,100,200,0,259151,0.000308
mst_100_200_22,100,200,0,281913,0.000136
mst_100_200_23,100,200,0,310763,0.000159
mst_100_200_24,100,200,0,289016,0.000148
mst_100_200_25,100,200,0,276783,0.000111
mst_100_200_26,100,200,0,238772,0.000124
mst_100_200_27,100,200,0,249945,0.000124
mst_100_200_28,100,200,0,254323,0.00012
mst_100_200_29,100,200,0,284515,0.00012
mst_100_200_30,100,200,0,278162,0.000101
mst_100_200_31,100,200,0,270928,0.000102
mst_100_200_32,100,200,0,270162,0.000118
mst_100_200_33,100,200,0,297190,0.000117
mst_100_200_34,100,200,0,247618,9.5e-05
mst_100_200_35,100,200,0,291053,9.7e-05
mst_100_200_36,100,200,0,270138,0.000144
mst_100_200_37,100,200,0,280352,0.00012
mst_100_200_38,100,200,0,264600,0.000119
mst_100_200_39,100,200,0,285251,0.000108
mst_100_200_40,100,200,0,270170,0.000117
mst_100_200_41,100,200,0,254991,0.000107
mst_100_200_42,100,200,0,282473,0.000109
mst_100_200_43,100,200,0,280143,9.9e-05
mst_100_200_44,100,200,0,299871,9.7e-05
mst_100_200_45,100,200,0,256538,0.000107
mst_100_200_46,100,200,0,287211,0.000102
mst_100_200_47,100,200,0,266164,0.000104
mst_100_200_48,100,200,0,288183,9.7e-05
mst_100_200_49,100,200,0,257446,0.000103
mst_100_200_50,100,200,0,279044,0.000119
mst_100_200_51,100,200,0,290639,0.000113
mst_100_200_52,100,200,0,233779,0.000106
mst_100_200_53,100,200,0,290103,0.000143
mst_100_200_54,100,200,0,253212,0.00014
mst_100_200_55,100,200,0,284308,0.000204
mst_100_200_56,100,200,0,273734,0.000108
mst_100_200_57,100,200,0,257672,0.000133
mst_100_200_58,100,200,0,265721,0.000132
mst_100_200_59,100,200,0,292089,0.00012
mst_100_200_60,100,200,0,259392,0.000107
mst_100_200_61,100,200,0,302116,8.1e-05
mst_100_200_62,100,200,0,238599,0.000106
mst_100_200_63,100,200,0,311660,7.7e-05
mst_100_200_64,100,200,0,293131,7.7e-05
mst_100_200_65,100,200,0,279417,9.3e-05
mst_100_200_66,100,200,0,313270,9.9e-05
mst_100_200_67,100,200,0,283891,7.7e-05
mst_100_200_68,100,200,0,284598,7.7e-05
mst_100_200_69,100,200,0,250905,0.0001
mst_100_200_70,100,200,0,276739,0.0001
mst_100_200_71,100,200,0,279775,9.8e-05
mst_100_200_72,100,200,0,288187,0.0001
mst_100_200_73,100,200,0,303870,0.000102
mst_100_200_74,100,200,0,347062,9.7e-05
mst_100_200_75,100,200,0,244484,9.8e-05
mst_100_200_76,100,200,0,266414,9.6e-05
mst_100_200_77,100,200,0,277542,8e-05
mst_100_200_78,100,200,0,260787,9.9e-05
mst_100_200_79,100,200,0,305646,0.000102
mst_100_200_80,100,200,0,248041,0.000101
mst_100_200_81,100,200,0,268302,0.000104
mst_100_200_82,100,200,0,290324,0.000113
mst_100_200_83,100,200,0,262435,0.000144
mst_100_200_84,100,200,0,265043,7.6e-05
mst_100_200_85,100,200,0,261801,0.000104
mst_100_200_86,100,200,0,254641,0.000119
mst_100_200_87,100,200,0,278394,8.2e-05
mst_100_200_88,100,200,0,294464,8.2e-05
mst_100_200_89,100,200,0,289842,7.7e-05
mst_100_200_90,100,200,0,278701,0.000105
mst_100_200_91,100,200,0,288260,8e-05
mst_100_200_92,100,200,0,267965,0.000105
mst_100_200_93,100,200,0,262918,8e-05
mst_100_200_94,100,200,0,316471,7.7e-05
mst_100_200_95,100,200,0,262585,7.6e-05
mst_100_200_96,100,200,0,270657,7.6e-05
mst_100_200_97,100,200,0,248033,9.7e-05
mst_100_200_98,100,200,0,270376,0.000105
mst_100_200_99,100,200,0,285280,9.8e-05
mst_100_1000_0,100,1000,0,67302,0.00012
mst_100_1000_1,100,1000,0,76254,0.000115
