filename , node, edge, degree, min_weight, time_in_sec 
full_100_0,100,4950,0,21642,16.2329
full_100_1,100,4950,0,21160,16.5905
full_100_2,100,4950,0,21211,16.3673
full_100_3,100,4950,0,22576,16.3736
full_100_4,100,4950,0,20480,16.4408
full_100_5,100,4950,0,20550,16.6338
full_100_6,100,4950,0,20221,16.3398
full_100_7,100,4950,0,22728,16.6206
full_100_8,100,4950,0,23678,16.3932
full_100_9,100,4950,0,22556,16.4461
full_100_10,100,4950,0,22114,16.3044
full_100_11,100,4950,0,22817,16.4202
full_100_12,100,4950,0,20666,16.4818
full_100_13,100,4950,0,22151,16.5122
full_100_14,100,4950,0,22374,16.77
full_100_15,100,4950,0,22168,16.3552
full_100_16,100,4950,0,18160,16.5033
full_100_17,100,4950,0,20981,16.4302
full_100_18,100,4950,0,22041,16.6243
full_100_19,100,4950,0,20860,16.2687
full_100_20,100,4950,0,20221,16.3964
full_100_21,100,4950,0,19837,16.7304
full_100_22,100,4950,0,21022,16.3555
full_100_23,100,4950,0,22081,16.4156
full_100_24,100,4950,0,20139,16.2866
full_100_25,100,4950,0,22069,16.3933
full_100_26,100,4950,0,20003,16.4832
full_100_27,100,4950,0,21241,16.2308
full_100_28,100,4950,0,20718,16.3664
full_100_29,100,4950,0,21195,16.482
full_100_30,100,4950,0,21687,16.7199
full_100_31,100,4950,0,21655,16.405
full_100_32,100,4950,0,21646,16.3922
full_100_33,100,4950,0,20774,16.1817
full_100_34,100,4950,0,22241,16.4302
full_100_35,100,4950,0,22082,16.3839
full_100_36,100,4950,0,20976,16.3626
full_100_37,100,4950,0,21152,16.4473
full_100_38,100,4950,0,21232,16.48
full_100_39,100,4950,0,21999,16.6199
full_100_40,100,4950,0,21827,16.4242
full_100_41,100,4950,0,22419,16.2335
full_100_42,100,4950,0,22806,16.3481
full_100_43,100,4950,0,22446,16.4214
full_100_44,100,4950,0,21938,16.4291
full_100_45,100,4950,0,22632,16.3392
full_100_46,100,4950,0,23639,16.1974
full_100_47,100,4950,0,24194,16.6047
full_100_48,100,4950,0,23352,16.4431
full_100_49,100,4950,0,20883,16.3242
full_100_50,100,4950,0,21793,16.4861
full_100_51,100,4950,0,23452,16.3592
full_100_52,100,4950,0,22752,16.3796
full_100_53,100,4950,0,23397,16.2575
full_100_54,100,4950,0,22160,16.3111
full_100_55,100,4950,0,21747,16.2847
full_100_56,100,4950,0,22587,16.3226
full_100_57,100,4950,0,20782,16.421
full_100_58,100,4950,0,21872,16.9927
full_100_59,100,4950,0,22039,17.4278
full_100_60,100,4950,0,21897,16.5475
full_100_61,100,4950,0,20743,16.3914
full_100_62,100,4950,0,21094,16.5417
full_100_63,100,4950,0,21365,16.327
full_100_64,100,4950,0,23647,16.6776
full_100_65,100,4950,0,19727,16.244
full_100_66,100,4950,0,22193,16.3245
full_100_67,100,4950,0,21278,16.459
full_100_68,100,4950,0,22062,16.4412
full_100_69,100,4950,0,21449,16.319
full_100_70,100,4950,0,19546,16.6067
full_100_71,100,4950,0,22165,16.4243
full_100_72,100,4950,0,20877,16.407
full_100_73,100,4950,0,22676,16.3816
full_100_74,100,4950,0,21382,16.3836
full_100_75,100,4950,0,22687,16.3628
full_100_76,100,4950,0,21146,16.1633
full_100_77,100,4950,0,21598,16.4045
full_100_78,100,4950,0,19990,16.5204
full_100_79,100,4950,0,19472,16.6057
full_100_80,100,4950,0,23098,16.3314
full_100_81,100,4950,0,22086,16.5041
full_100_82,100,4950,0,22921,16.3476
full_100_83,100,4950,0,22978,16.3849
full_100_84,100,4950,0,22074,16.4782
full_100_85,100,4950,0,23180,16.5846
full_100_86,100,4950,0,22870,16.4818
full_100_87,100,4950,0,22615,16.4032
full_100_88,100,4950,0,22414,16.366
full_100_89,100,4950,0,21123,16.29
full_100_90,100,4950,0,21395,16.5142
full_100_91,100,4950,0,20701,16.4896
full_100_92,100,4950,0,21294,16.047
full_100_93,100,4950,0,19932,16.3567
full_100_94,100,4950,0,21538,16.3677
full_100_95,100,4950,0,21645,16.409
full_100_96,100,4950,0,22850,16.6034
full_100_97,100,4950,0,21820,16.3348
full_100_98,100,4950,0,22628,16.3754
full_100_99,100,4950,0,23300,16.5176
full_100_100,100,4950,0,24043,16.4515
full_100_101,100,4950,0,20077,16.704
full_100_102,100,4950,0,20366,16.4116
full_100_103,100,4950,0,20563,15.9854
full_100_104,100,4950,0,21434,15.8378
full_100_105,100,4950,0,20769,15.4403
full_100_106,100,4950,0,21903,15.9587
full_100_107,100,4950,0,23844,15.5149
full_100_108,100,4950,0,22095,15.3402
full_100_109,100,4950,0,20935,15.4071
full_100_110,100,4950,0,21746,17.2334
full_100_111,100,4950,0,20608,16.6463
full_100_112,100,4950,0,21512,16.6525
full_100_113,100,4950,0,19976,17.2695
full_100_114,100,4950,0,22403,16.9595
full_100_115,100,4950,0,20269,16.7062
full_100_116,100,4950,0,21971,17.036
full_100_117,100,4950,0,21385,16.1527
full_100_118,100,4950,0,22492,15.5932
full_100_119,100,4950,0,21231,15.5552
full_100_120,100,4950,0,22327,15.4367
full_100_121,100,4950,0,20963,15.4708
full_100_122,100,4950,0,21921,15.5585
full_100_123,100,4950,0,22021,15.4976
full_100_124,100,4950,0,21023,15.5181
full_100_125,100,4950,0,23509,15.6283
full_100_126,100,4950,0,20853,15.531
full_100_127,100,4950,0,22495,15.626
full_100_128,100,4950,0,20971,15.5118
full_100_129,100,4950,0,24364,15.3444
full_100_130,100,4950,0,20763,15.5005
full_100_131,100,4950,0,20972,15.3495
full_100_132,100,4950,0,19189,15.5884
full_100_133,100,4950,0,23002,15.6618
full_100_134,100,4950,0,22351,15.5809
full_100_135,100,4950,0,22279,15.4076
full_100_136,100,4950,0,20812,15.5282
full_100_137,100,4950,0,22114,15.5203
full_100_138,100,4950,0,23790,16.9759
full_100_139,100,4950,0,25012,17.5834
full_100_140,100,4950,0,21444,17.1574
full_100_141,100,4950,0,21002,17.2045
full_100_142,100,4950,0,19654,16.9178
full_100_143,100,4950,0,20573,16.9613
full_100_144,100,4950,0,22515,16.7706
full_100_145,100,4950,0,22473,17.2293
full_100_146,100,4950,0,23518,17.3115
full_100_147,100,4950,0,21247,16.9482
full_100_148,100,4950,0,20776,17.3844
full_100_149,100,4950,0,20414,16.1085
full_100_150,100,4950,0,20856,15.8395
full_100_151,100,4950,0,22382,15.68
full_100_152,100,4950,0,19714,15.4821
full_100_153,100,4950,0,19492,15.5313
full_100_154,100,4950,0,21499,15.4578
full_100_155,100,4950,0,20486,15.6229
full_100_156,100,4950,0,20665,16.0438
full_100_157,100,4950,0,21216,17.1374
full_100_158,100,4950,0,22905,16.5947
full_100_159,100,4950,0,22283,15.5569
full_100_160,100,4950,0,21578,16.4982
full_100_161,100,4950,0,22394,16.4575
full_100_162,100,4950,0,22609,17.2529
full_100_163,100,4950,0,25142,17.4372
full_100_164,100,4950,0,20177,17.4543
full_100_165,100,4950,0,20247,17.3143
full_100_166,100,4950,0,21017,17.0204
full_100_167,100,4950,0,21614,17.0112
full_100_168,100,4950,0,20658,17.3458
full_100_169,100,4950,0,21311,17.11
full_100_170,100,4950,0,23756,16.8896
full_100_171,100,4950,0,23163,17.4794
full_100_172,100,4950,0,22172,17.2593
full_100_173,100,4950,0,21219,17.1994
full_100_174,100,4950,0,21270,16.98
full_100_175,100,4950,0,24478,17.1786
full_100_176,100,4950,0,22215,17.2593
full_100_177,100,4950,0,22719,16.0637
full_100_178,100,4950,0,22347,15.7304
full_100_179,100,4950,0,22407,15.585
full_100_180,100,4950,0,22294,15.6508
full_100_181,100,4950,0,20337,15.6844
full_100_182,100,4950,0,22111,15.5832
full_100_183,100,4950,0,21547,15.5886
full_100_184,100,4950,0,21507,16.2703
full_100_185,100,4950,0,21217,17.2457
full_100_186,100,4950,0,21381,17.1092
full_100_187,100,4950,0,21270,17.1233
full_100_188,100,4950,0,23628,17.2227
full_100_189,100,4950,0,19251,17.3594
full_100_190,100,4950,0,22927,16.9644
full_100_191,100,4950,0,20905,17.2065
full_100_192,100,4950,0,22216,17.054
full_100_193,100,4950,0,20081,17.0383
full_100_194,100,4950,0,22800,17.1054
full_100_195,100,4950,0,21485,17.1983
full_100_196,100,4950,0,19804,17.1732
full_100_197,100,4950,0,20706,17.0007
full_100_198,100,4950,0,21038,17.2449
full_100_199,100,4950,0,24017,17.3345
full_100_200,100,4950,0,22084,17.313
full_100_201,100,4950,0,20000,17.1899
full_100_202,100,4950,0,19996,17.1459
full_100_203,100,4950,0,20590,16.9459
full_100_204,100,4950,0,25001,17.292
full_100_205,100,4950,0,17467,17.1208
full_100_206,100,4950,0,22652,17.055
full_100_207,100,4950,0,21578,17.2457
full_100_208,100,4950,0,20627,17.0867
full_100_209,100,4950,0,21872,17.2849
full_100_210,100,4950,0,23089,17.0092
full_100_211,100,4950,0,21297,17.29
full_100_212,100,4950,0,22623,17.1031
full_100_213,100,4950,0,22161,17.0038
full_100_214,100,4950,0,21564,17.2065
full_100_215,100,4950,0,23319,16.8573
full_100_216,100,4950,0,22118,17.088
full_100_217,100,4950,0,18838,17.1876
full_100_218,100,4950,0,22946,17.1069
full_100_219,100,4950,0,24118,17.2495
full_100_220,100,4950,0,23906,17.034
full_100_221,100,4950,0,20027,16.5012
full_100_222,100,4950,0,23045,17.0724
full_100_223,100,4950,0,25202,16.8794
full_100_224,100,4950,0,20659,16.6638
full_100_225,100,4950,0,19948,17.5186
full_100_226,100,4950,0,21639,17.3775
full_100_227,100,4950,0,23337,17.3018
full_100_228,100,4950,0,21148,17.1927
full_100_229,100,4950,0,24145,17.2477
full_100_230,100,4950,0,18964,17.3553
full_100_231,100,4950,0,21945,17.2314
full_100_232,100,4950,0,21652,17.2575
full_100_233,100,4950,0,21806,17.196
full_100_234,100,4950,0,21208,17.2595
full_100_235,100,4950,0,19185,17.1028
full_100_236,100,4950,0,20464,17.0493
full_100_237,100,4950,0,22238,16.0003
full_100_238,100,4950,0,20910,16.0366
full_100_239,100,4950,0,23163,15.5945
full_100_240,100,4950,0,21378,15.6165
full_100_241,100,4950,0,20353,15.4803
full_100_242,100,4950,0,19387,15.6626
full_100_243,100,4950,0,21208,15.6076
full_100_244,100,4950,0,22219,15.5113
full_100_245,100,4950,0,21494,17.1044
full_100_246,100,4950,0,23461,16.1853
full_100_247,100,4950,0,20600,15.497
full_100_248,100,4950,0,22059,15.4319
full_100_249,100,4950,0,22728,15.5197
full_100_250,100,4950,0,20579,15.5085
full_100_251,100,4950,0,24913,15.5709
full_100_252,100,4950,0,21402,15.5359
full_100_253,100,4950,0,21954,15.5041
full_100_254,100,4950,0,22904,15.723
full_100_255,100,4950,0,21370,15.618
full_100_256,100,4950,0,20208,15.5876
full_100_257,100,4950,0,21775,15.5041
full_100_258,100,4950,0,21645,16.5181
full_100_259,100,4950,0,19662,17.1858
full_100_260,100,4950,0,22469,17.1197
full_100_261,100,4950,0,22962,17.2508
full_100_262,100,4950,0,20574,17.3819
full_100_263,100,4950,0,23068,16.9923
full_100_264,100,4950,0,22298,16.9144
full_100_265,100,4950,0,20659,17.0977
full_100_266,100,4950,0,20123,16.9856
full_100_267,100,4950,0,23712,16.9861
full_100_268,100,4950,0,23016,17.0711
full_100_269,100,4950,0,19755,17.0127
full_100_270,100,4950,0,20549,17.0112
full_100_271,100,4950,0,22320,17.2989
full_100_272,100,4950,0,22354,17.1044
full_100_273,100,4950,0,22616,17.2268
full_100_274,100,4950,0,21011,16.9108
full_100_275,100,4950,0,22513,17.0993
full_100_276,100,4950,0,20726,17.3978
full_100_277,100,4950,0,21974,17.5155
full_100_278,100,4950,0,22275,16.9298
full_100_279,100,4950,0,21955,17.0168
full_100_280,100,4950,0,23593,17.258
full_100_281,100,4950,0,21211,17.1116
full_100_282,100,4950,0,22777,17.2421
full_100_283,100,4950,0,23473,17.2273
full_100_284,100,4950,0,22713,17.2396
full_100_285,100,4950,0,23056,17.1679
full_100_286,100,4950,0,20306,17.0194
full_100_287,100,4950,0,21125,17.1223
full_100_288,100,4950,0,21812,17.1146
full_100_289,100,4950,0,20216,17.2477
full_100_290,100,4950,0,23032,17.3409
full_100_291,100,4950,0,21294,17.132
full_100_292,100,4950,0,20221,17.0301
full_100_293,100,4950,0,23316,17.3143
full_100_294,100,4950,0,19613,17.3128
full_100_295,100,4950,0,20135,17.1331
full_100_296,100,4950,0,20393,16.9871
full_100_297,100,4950,0,21308,16.8253
full_100_298,100,4950,0,22355,17.2319
full_100_299,100,4950,0,20133,17.471
full_200_0,200,19900,0,31218,550.938
full_200_1,200,19900,0,29816,550.068
full_200_2,200,19900,0,-1,inf
full_200_3,200,19900,0,-1,inf
full_200_4,200,19900,0,-1,inf
full_200_5,200,19900,0,-1,inf
full_200_6,200,19900,0,-1,inf
full_200_7,200,19900,0,-1,inf
full_200_8,200,19900,0,-1,inf
full_200_9,200,19900,0,-1,inf
full_200_10,200,19900,0,-1,inf
full_200_11,200,19900,0,-1,inf
full_200_12,200,19900,0,-1,inf
full_200_13,200,19900,0,-1,inf
full_200_14,200,19900,0,-1,inf
