filename , node, edge, degree, min_weight, time_in_sec 
full_100_0,100,4950,0,21642,0.000714
full_100_1,100,4950,0,21160,0.000708
full_100_2,100,4950,0,21211,0.00071
full_100_3,100,4950,0,22576,0.000712
full_100_4,100,4950,0,20480,0.000785
full_100_5,100,4950,0,20550,0.001233
full_100_6,100,4950,0,20221,0.001195
full_100_7,100,4950,0,22728,0.001177
full_100_8,100,4950,0,23678,0.000731
full_100_9,100,4950,0,22556,0.000666
full_100_10,100,4950,0,22114,0.000664
full_100_11,100,4950,0,22817,0.000676
full_100_12,100,4950,0,20666,0.000773
full_100_13,100,4950,0,22151,0.000802
full_100_14,100,4950,0,22374,0.000782
full_100_15,100,4950,0,22168,0.000669
full_100_16,100,4950,0,18160,0.00074
full_100_17,100,4950,0,20981,0.000991
full_100_18,100,4950,0,22041,0.00067
full_100_19,100,4950,0,20860,0.000667
full_100_20,100,4950,0,20221,0.00067
full_100_21,100,4950,0,19837,0.000789
full_100_22,100,4950,0,21022,0.000669
full_100_23,100,4950,0,22081,0.000717
full_100_24,100,4950,0,20139,0.000742
full_100_25,100,4950,0,22069,0.000751
full_100_26,100,4950,0,20003,0.00073
full_100_27,100,4950,0,21241,0.000831
full_100_28,100,4950,0,20718,0.000729
full_100_29,100,4950,0,21195,0.000754
full_100_30,100,4950,0,21687,0.000716
full_100_31,100,4950,0,21655,0.000718
full_100_32,100,4950,0,21646,0.000717
full_100_33,100,4950,0,20774,0.000702
full_100_34,100,4950,0,22241,0.000709
full_100_35,100,4950,0,22082,0.000721
full_100_36,100,4950,0,20976,0.000727
full_100_37,100,4950,0,21152,0.000709
full_100_38,100,4950,0,21232,0.00071
full_100_39,100,4950,0,21999,0.000717
full_100_40,100,4950,0,21827,0.000785
full_100_41,100,4950,0,22419,0.000711
full_100_42,100,4950,0,22806,0.000716
full_100_43,100,4950,0,22446,0.00071
full_100_44,100,4950,0,21938,0.000712
full_100_45,100,4950,0,22632,0.000747
full_100_46,100,4950,0,23639,0.000716
full_100_47,100,4950,0,24194,0.00071
full_100_48,100,4950,0,23352,0.000718
full_100_49,100,4950,0,20883,0.000712
full_100_50,100,4950,0,21793,0.000759
full_100_51,100,4950,0,23452,0.000793
full_100_52,100,4950,0,22752,0.000689
full_100_53,100,4950,0,23397,0.00073
full_100_54,100,4950,0,22160,0.000671
full_100_55,100,4950,0,21747,0.000661
full_100_56,100,4950,0,22587,0.000715
full_100_57,100,4950,0,20782,0.0007
full_100_58,100,4950,0,21872,0.000744
full_100_59,100,4950,0,22039,0.000665
full_100_60,100,4950,0,21897,0.000713
full_100_61,100,4950,0,20743,0.000663
full_100_62,100,4950,0,21094,0.000712
full_100_63,100,4950,0,21365,0.000722
full_100_64,100,4950,0,23647,0.000771
full_100_65,100,4950,0,19727,0.00072
full_100_66,100,4950,0,22193,0.00076
full_100_67,100,4950,0,21278,0.000715
full_100_68,100,4950,0,22062,0.000716
full_100_69,100,4950,0,21449,0.000723
full_100_70,100,4950,0,19546,0.000715
full_100_71,100,4950,0,22165,0.000716
full_100_72,100,4950,0,20877,0.000717
full_100_73,100,4950,0,22676,0.000733
full_100_74,100,4950,0,21382,0.000714
full_100_75,100,4950,0,22687,0.000718
full_100_76,100,4950,0,21146,0.000715
full_100_77,100,4950,0,21598,0.000714
full_100_78,100,4950,0,19990,0.000713
full_100_79,100,4950,0,19472,0.000706
full_100_80,100,4950,0,23098,0.000716
full_100_81,100,4950,0,22086,0.000731
full_100_82,100,4950,0,22921,0.000715
full_100_83,100,4950,0,22978,0.000666
full_100_84,100,4950,0,22074,0.00076
full_100_85,100,4950,0,23180,0.000686
full_100_86,100,4950,0,22870,0.00074
full_100_87,100,4950,0,22615,0.000833
full_100_88,100,4950,0,22414,0.000736
full_100_89,100,4950,0,21123,0.000975
full_100_90,100,4950,0,21395,0.000719
full_100_91,100,4950,0,20701,0.000743
full_100_92,100,4950,0,21294,0.000745
full_100_93,100,4950,0,19932,0.000667
full_100_94,100,4950,0,21538,0.000663
full_100_95,100,4950,0,21645,0.000742
full_100_96,100,4950,0,22850,0.000757
full_100_97,100,4950,0,21820,0.000734
full_100_98,100,4950,0,22628,0.000714
full_100_99,100,4950,0,23300,0.000777
full_100_100,100,4950,0,24043,0.000719
full_100_101,100,4950,0,20077,0.000716
full_100_102,100,4950,0,20366,0.000707
full_100_103,100,4950,0,20563,0.000713
full_100_104,100,4950,0,21434,0.000719
full_100_105,100,4950,0,20769,0.000748
full_100_106,100,4950,0,21903,0.000715
full_100_107,100,4950,0,23844,0.000751
full_100_108,100,4950,0,22095,0.000715
full_100_109,100,4950,0,20935,0.000713
full_100_110,100,4950,0,21746,0.001002
full_100_111,100,4950,0,20608,0.000664
full_100_112,100,4950,0,21512,0.000768
full_100_113,100,4950,0,19976,0.000664
full_100_114,100,4950,0,22403,0.000664
full_100_115,100,4950,0,20269,0.000676
full_100_116,100,4950,0,21971,0.00074
full_100_117,100,4950,0,21385,0.000797
full_100_118,100,4950,0,22492,0.000764
full_100_119,100,4950,0,21231,0.000667
full_100_120,100,4950,0,22327,0.000668
full_100_121,100,4950,0,20963,0.000715
full_100_122,100,4950,0,21921,0.000702
full_100_123,100,4950,0,22021,0.000672
full_100_124,100,4950,0,21023,0.000726
full_100_125,100,4950,0,23509,0.000724
full_100_126,100,4950,0,20853,0.000667
full_100_127,100,4950,0,22495,0.000723
full_100_128,100,4950,0,20971,0.00067
full_100_129,100,4950,0,24364,0.00067
full_100_130,100,4950,0,20763,0.000669
full_100_131,100,4950,0,20972,0.000675
full_100_132,100,4950,0,19189,0.000664
full_100_133,100,4950,0,23002,0.000666
full_100_134,100,4950,0,22351,0.000674
full_100_135,100,4950,0,22279,0.000671
full_100_136,100,4950,0,20812,0.000674
full_100_137,100,4950,0,22114,0.000671
full_100_138,100,4950,0,23790,0.00067
full_100_139,100,4950,0,25012,0.000731
full_100_140,100,4950,0,21444,0.00072
full_100_141,100,4950,0,21002,0.000991
full_100_142,100,4950,0,19654,0.001122
full_100_143,100,4950,0,20573,0.00071
full_100_144,100,4950,0,22515,0.000675
full_100_145,100,4950,0,22473,0.000669
full_100_146,100,4950,0,23518,0.000676
full_100_147,100,4950,0,21247,0.000712
full_100_148,100,4950,0,20776,0.000673
full_100_149,100,4950,0,20414,0.000662
full_100_150,100,4950,0,20856,0.000666
full_100_151,100,4950,0,22382,0.00066
full_100_152,100,4950,0,19714,0.000662
full_100_153,100,4950,0,19492,0.000671
full_100_154,100,4950,0,21499,0.000768
full_100_155,100,4950,0,20486,0.000672
full_100_156,100,4950,0,20665,0.000666
full_100_157,100,4950,0,21216,0.000724
full_100_158,100,4950,0,22905,0.000719
full_100_159,100,4950,0,22283,0.000714
full_100_160,100,4950,0,21578,0.00067
full_100_161,100,4950,0,22394,0.000669
full_100_162,100,4950,0,22609,0.000781
full_100_163,100,4950,0,25142,0.000686
full_100_164,100,4950,0,20177,0.000699
full_100_165,100,4950,0,20247,0.000719
full_100_166,100,4950,0,21017,0.000711
full_100_167,100,4950,0,21614,0.000711
full_100_168,100,4950,0,20658,0.000717
full_100_169,100,4950,0,21311,0.000794
full_100_170,100,4950,0,23756,0.000832
full_100_171,100,4950,0,23163,0.000717
full_100_172,100,4950,0,22172,0.000725
full_100_173,100,4950,0,21219,0.000706
full_100_174,100,4950,0,21270,0.000764
full_100_175,100,4950,0,24478,0.000711
full_100_176,100,4950,0,22215,0.000716
full_100_177,100,4950,0,22719,0.00071
full_100_178,100,4950,0,22347,0.000714
full_100_179,100,4950,0,22407,0.000711
full_100_180,100,4950,0,22294,0.000712
full_100_181,100,4950,0,20337,0.000663
full_100_182,100,4950,0,22111,0.000667
full_100_183,100,4950,0,21547,0.000669
full_100_184,100,4950,0,21507,0.000668
full_100_185,100,4950,0,21217,0.000721
full_100_186,100,4950,0,21381,0.000673
full_100_187,100,4950,0,21270,0.00072
full_100_188,100,4950,0,23628,0.000721
full_100_189,100,4950,0,19251,0.000714
full_100_190,100,4950,0,22927,0.000731
full_100_191,100,4950,0,20905,0.000666
full_100_192,100,4950,0,22216,0.000669
full_100_193,100,4950,0,20081,0.000666
full_100_194,100,4950,0,22800,0.000663
full_100_195,100,4950,0,21485,0.000695
full_100_196,100,4950,0,19804,0.000663
full_100_197,100,4950,0,20706,0.000664
full_100_198,100,4950,0,21038,0.000665
full_100_199,100,4950,0,24017,0.000707
full_100_200,100,4950,0,22084,0.000784
full_100_201,100,4950,0,20000,0.000727
full_100_202,100,4950,0,19996,0.000713
full_100_203,100,4950,0,20590,0.000762
full_100_204,100,4950,0,25001,0.000712
full_100_205,100,4950,0,17467,0.000677
full_100_206,100,4950,0,22652,0.000737
full_100_207,100,4950,0,21578,0.000661
full_100_208,100,4950,0,20627,0.000671
full_100_209,100,4950,0,21872,0.000664
full_100_210,100,4950,0,23089,0.000713
full_100_211,100,4950,0,21297,0.000669
full_100_212,100,4950,0,22623,0.000705
full_100_213,100,4950,0,22161,0.000665
full_100_214,100,4950,0,21564,0.000717
full_100_215,100,4950,0,23319,0.000667
full_100_216,100,4950,0,22118,0.000746
full_100_217,100,4950,0,18838,0.000853
full_100_218,100,4950,0,22946,0.000674
full_100_219,100,4950,0,24118,0.000882
full_100_220,100,4950,0,23906,0.00071
full_100_221,100,4950,0,20027,0.000709
full_100_222,100,4950,0,23045,0.000662
full_100_223,100,4950,0,25202,0.000671
full_100_224,100,4950,0,20659,0.000694
full_100_225,100,4950,0,19948,0.000669
full_100_226,100,4950,0,21639,0.000671
full_100_227,100,4950,0,23337,0.00067
full_100_228,100,4950,0,21148,0.000687
full_100_229,100,4950,0,24145,0.000711
full_100_230,100,4950,0,18964,0.000669
full_100_231,100,4950,0,21945,0.000743
full_100_232,100,4950,0,21652,0.000727
full_100_233,100,4950,0,21806,0.001006
full_100_234,100,4950,0,21208,0.000923
full_100_235,100,4950,0,19185,0.000668
full_100_236,100,4950,0,20464,0.000786
full_100_237,100,4950,0,22238,0.000826
full_100_238,100,4950,0,20910,0.000715
full_100_239,100,4950,0,23163,0.000703
full_100_240,100,4950,0,21378,0.000709
full_100_241,100,4950,0,20353,0.000723
full_100_242,100,4950,0,19387,0.00082
full_100_243,100,4950,0,21208,0.00071
full_100_244,100,4950,0,22219,0.000717
full_100_245,100,4950,0,21494,0.000722
full_100_246,100,4950,0,23461,0.000802
full_100_247,100,4950,0,20600,0.000719
full_100_248,100,4950,0,22059,0.000736
full_100_249,100,4950,0,22728,0.000733
full_100_250,100,4950,0,20579,0.000712
full_100_251,100,4950,0,24913,0.000708
full_100_252,100,4950,0,21402,0.000734
full_100_253,100,4950,0,21954,0.00071
full_100_254,100,4950,0,22904,0.000671
full_100_255,100,4950,0,21370,0.000669
full_100_256,100,4950,0,20208,0.000665
full_100_257,100,4950,0,21775,0.000666
full_100_258,100,4950,0,21645,0.000663
full_100_259,100,4950,0,19662,0.000666
full_100_260,100,4950,0,22469,0.000666
full_100_261,100,4950,0,22962,0.000735
full_100_262,100,4950,0,20574,0.000666
full_100_263,100,4950,0,23068,0.000666
full_100_264,100,4950,0,22298,0.00067
full_100_265,100,4950,0,20659,0.000711
full_100_266,100,4950,0,20123,0.000665
full_100_267,100,4950,0,23712,0.000671
full_100_268,100,4950,0,23016,0.000684
full_100_269,100,4950,0,19755,0.000714
full_100_270,100,4950,0,20549,0.000715
full_100_271,100,4950,0,22320,0.000726
full_100_272,100,4950,0,22354,0.000704
full_100_273,100,4950,0,22616,0.000714
full_100_274,100,4950,0,21011,0.000708
full_100_275,100,4950,0,22513,0.000717
full_100_276,100,4950,0,20726,0.000736
full_100_277,100,4950,0,21974,0.000722
full_100_278,100,4950,0,22275,0.000716
full_100_279,100,4950,0,21955,0.00074
full_100_280,100,4950,0,23593,0.000715
full_100_281,100,4950,0,21211,0.000723
full_100_282,100,4950,0,22777,0.00071
full_100_283,100,4950,0,23473,0.000707
full_100_284,100,4950,0,22713,0.000717
full_100_285,100,4950,0,23056,0.000712
full_100_286,100,4950,0,20306,0.000714
