filename , node, edge, degree, min_weight, time_in_sec 
full_100_0,100,4950,0,21642,9.3e-05
full_100_1,100,4950,0,21160,0.000103
full_100_2,100,4950,0,21211,0.000102
full_100_3,100,4950,0,22576,0.000127
full_100_4,100,4950,0,20480,0.000102
full_100_5,100,4950,0,20550,0.000107
full_100_6,100,4950,0,20221,0.0001
full_100_7,100,4950,0,22728,0.000113
full_100_8,100,4950,0,23678,0.000103
full_100_9,100,4950,0,22556,0.000104
full_100_10,100,4950,0,22114,0.00011
full_100_11,100,4950,0,22817,9.8e-05
full_100_12,100,4950,0,20666,0.000101
full_100_13,100,4950,0,22151,9.8e-05
full_100_14,100,4950,0,22374,9.9e-05
full_100_15,100,4950,0,22168,0.000103
full_100_16,100,4950,0,18160,8.4e-05
full_100_17,100,4950,0,20981,0.000104
full_100_18,100,4950,0,22041,0.000131
full_100_19,100,4950,0,20860,0.000102
full_100_20,100,4950,0,20221,8.1e-05
full_100_21,100,4950,0,19837,8.1e-05
full_100_22,100,4950,0,21022,0.000105
full_100_23,100,4950,0,22081,0.000107
full_100_24,100,4950,0,20139,0.000103
full_100_25,100,4950,0,22069,0.000107
full_100_26,100,4950,0,20003,8.2e-05
full_100_27,100,4950,0,21241,0.000122
full_100_28,100,4950,0,20718,0.000101
full_100_29,100,4950,0,21195,8.3e-05
full_100_30,100,4950,0,21687,8.1e-05
full_100_31,100,4950,0,21655,8.2e-05
full_100_32,100,4950,0,21646,8.3e-05
full_100_33,100,4950,0,20774,8.4e-05
full_100_34,100,4950,0,22241,9.7e-05
full_100_35,100,4950,0,22082,8.2e-05
full_100_36,100,4950,0,20976,9.7e-05
full_100_37,100,4950,0,21152,8.3e-05
full_100_38,100,4950,0,21232,8.3e-05
full_100_39,100,4950,0,21999,0.000116
full_100_40,100,4950,0,21827,0.000102
full_100_41,100,4950,0,22419,9.9e-05
full_100_42,100,4950,0,22806,8.2e-05
full_100_43,100,4950,0,22446,0.000104
full_100_44,100,4950,0,21938,8.3e-05
full_100_45,100,4950,0,22632,8.2e-05
full_100_46,100,4950,0,23639,8.6e-05
full_100_47,100,4950,0,24194,8.8e-05
full_100_48,100,4950,0,23352,8.5e-05
full_100_49,100,4950,0,20883,9.1e-05
full_100_50,100,4950,0,21793,0.000102
full_100_51,100,4950,0,23452,8.3e-05
full_100_52,100,4950,0,22752,8.2e-05
full_100_53,100,4950,0,23397,7.4e-05
full_100_54,100,4950,0,22160,7.2e-05
full_100_55,100,4950,0,21747,7.6e-05
full_100_56,100,4950,0,22587,7.4e-05
full_100_57,100,4950,0,20782,7.3e-05
full_100_58,100,4950,0,21872,7.1e-05
full_100_59,100,4950,0,22039,7.2e-05
full_100_60,100,4950,0,21897,7.2e-05
full_100_61,100,4950,0,20743,0.0001
full_100_62,100,4950,0,21094,8.2e-05
full_100_63,100,4950,0,21365,7.4e-05
full_100_64,100,4950,0,23647,0.000106
full_100_65,100,4950,0,19727,8.2e-05
full_100_66,100,4950,0,22193,8.3e-05
full_100_67,100,4950,0,21278,8.2e-05
full_100_68,100,4950,0,22062,0.000101
full_100_69,100,4950,0,21449,8.2e-05
full_100_70,100,4950,0,19546,8.6e-05
full_100_71,100,4950,0,22165,8.2e-05
full_100_72,100,4950,0,20877,8e-05
full_100_73,100,4950,0,22676,0.000117
full_100_74,100,4950,0,21382,0.00011
full_100_75,100,4950,0,22687,0.000101
full_100_76,100,4950,0,21146,8.4e-05
full_100_77,100,4950,0,21598,0.000106
full_100_78,100,4950,0,19990,0.000112
full_100_79,100,4950,0,19472,0.00011
full_100_80,100,4950,0,23098,0.000112
full_100_81,100,4950,0,22086,8.1e-05
full_100_82,100,4950,0,22921,0.000108
full_100_83,100,4950,0,22978,8.2e-05
full_100_84,100,4950,0,22074,8.3e-05
full_100_85,100,4950,0,23180,8.4e-05
full_100_86,100,4950,0,22870,8.3e-05
full_100_87,100,4950,0,22615,8.1e-05
full_100_88,100,4950,0,22414,8.3e-05
full_100_89,100,4950,0,21123,8.4e-05
full_100_90,100,4950,0,21395,0.000105
full_100_91,100,4950,0,20701,8e-05
full_100_92,100,4950,0,21294,8.1e-05
full_100_93,100,4950,0,19932,8.2e-05
full_100_94,100,4950,0,21538,0.000102
full_100_95,100,4950,0,21645,8.4e-05
full_100_96,100,4950,0,22850,8.3e-05
full_100_97,100,4950,0,21820,8.7e-05
full_100_98,100,4950,0,22628,8.3e-05
full_100_99,100,4950,0,23300,8.4e-05
full_100_100,100,4950,0,24043,8.4e-05
full_100_101,100,4950,0,20077,0.000102
full_100_102,100,4950,0,20366,8.3e-05
full_100_103,100,4950,0,20563,8.4e-05
full_100_104,100,4950,0,21434,8.3e-05
full_100_105,100,4950,0,20769,8.4e-05
full_100_106,100,4950,0,21903,9.6e-05
full_100_107,100,4950,0,23844,8e-05
full_100_108,100,4950,0,22095,8.1e-05
full_100_109,100,4950,0,20935,0.000114
full_100_110,100,4950,0,21746,8.5e-05
full_100_111,100,4950,0,20608,8.2e-05
full_100_112,100,4950,0,21512,8.1e-05
full_100_113,100,4950,0,19976,8.3e-05
full_100_114,100,4950,0,22403,8e-05
full_100_115,100,4950,0,20269,8.6e-05
full_100_116,100,4950,0,21971,8.3e-05
full_100_117,100,4950,0,21385,8.3e-05
full_100_118,100,4950,0,22492,8.2e-05
full_100_119,100,4950,0,21231,0.000109
full_100_120,100,4950,0,22327,8.2e-05
full_100_121,100,4950,0,20963,9.2e-05
