filename , node, edge, degree, min_weight, time_in_sec 
100_5_0,100,250,5,4341,0.376176
100_5_1,100,250,5,4182,0.369929
100_5_2,100,250,5,4479,0.341348
100_5_3,100,250,5,3669,0.34156
100_5_4,100,250,5,4040,0.359168
100_5_5,100,250,5,4390,0.363362
100_5_6,100,250,5,4338,0.327837
100_5_7,100,250,5,5088,0.356073
100_5_8,100,250,5,3774,0.357575
100_5_9,100,250,5,4292,0.334361
100_5_10,100,250,5,4098,0.429553
100_5_11,100,250,5,4113,0.405445
100_5_12,100,250,5,4432,0.434289
100_5_13,100,250,5,4366,0.447516
100_5_14,100,250,5,5037,0.383747
100_5_15,100,250,5,4329,0.457873
100_5_16,100,250,5,4219,0.394319
100_5_17,100,250,5,4001,0.353908
100_5_18,100,250,5,4585,0.383832
100_5_19,100,250,5,4338,0.38657
100_5_20,100,250,5,4327,0.405968
100_5_21,100,250,5,4398,0.423884
100_5_22,100,250,5,4601,0.352184
100_5_23,100,250,5,3749,0.405299
100_5_24,100,250,5,4724,0.383407
100_5_25,100,250,5,4319,0.384332
100_5_26,100,250,5,4663,0.401087
100_5_27,100,250,5,4094,0.429341
100_5_28,100,250,5,4405,0.368668
100_5_29,100,250,5,4160,0.439492
100_5_30,100,250,5,4567,0.420222
100_5_31,100,250,5,4209,0.401455
100_5_32,100,250,5,4265,0.376248
100_5_33,100,250,5,4829,0.405731
100_5_34,100,250,5,3799,0.42731
100_5_35,100,250,5,4680,0.397548
100_5_36,100,250,5,4049,0.37897
100_5_37,100,250,5,4299,0.406149
100_5_38,100,250,5,3646,0.425266
100_5_39,100,250,5,5044,0.365148
100_5_40,100,250,5,4925,0.378239
100_5_41,100,250,5,4428,0.36273
100_5_42,100,250,5,3996,0.377549
100_5_43,100,250,5,4210,0.3604
100_5_44,100,250,5,4178,0.372072
100_5_45,100,250,5,4619,0.343022
100_5_46,100,250,5,4414,0.351142
100_5_47,100,250,5,4191,0.358172
100_5_48,100,250,5,4694,0.368332
100_5_49,100,250,5,4167,0.343532
100_5_50,100,250,5,4332,0.356534
100_5_51,100,250,5,4703,0.345032
100_5_52,100,250,5,3833,0.366596
100_5_53,100,250,5,4412,0.334954
100_5_54,100,250,5,4256,0.350308
100_5_55,100,250,5,4572,0.332676
100_5_56,100,250,5,4078,0.353668
100_5_57,100,250,5,3906,0.366026
100_5_58,100,250,5,4212,0.364376
100_5_59,100,250,5,4364,0.361904
100_5_60,100,250,5,5021,0.372816
100_5_61,100,250,5,4691,0.359918
100_5_62,100,250,5,4566,0.363866
100_5_63,100,250,5,4539,0.36549
