filename , node, edge, degree, min_weight, time_in_sec 
100_5_0,100,250,5,4341,5e-05
100_5_1,100,250,5,4182,4.1e-05
100_5_2,100,250,5,4479,4e-05
100_5_3,100,250,5,3669,4e-05
100_5_4,100,250,5,4040,3.9e-05
100_5_5,100,250,5,4390,4.1e-05
100_5_6,100,250,5,4338,3.9e-05
100_5_7,100,250,5,5088,3.8e-05
100_5_8,100,250,5,3774,3.6e-05
100_5_9,100,250,5,4292,4.1e-05
100_5_10,100,250,5,4098,3.9e-05
100_5_11,100,250,5,4113,3.9e-05
100_5_12,100,250,5,4432,3.8e-05
100_5_13,100,250,5,4366,3.6e-05
100_5_14,100,250,5,5037,4.7e-05
100_5_15,100,250,5,4329,5.9e-05
100_5_16,100,250,5,4219,3.8e-05
100_5_17,100,250,5,4001,3.7e-05
100_5_18,100,250,5,4585,4e-05
100_5_19,100,250,5,4338,4e-05
100_5_20,100,250,5,4327,3.8e-05
100_5_21,100,250,5,4398,3.7e-05
100_5_22,100,250,5,4601,3.7e-05
100_5_23,100,250,5,3749,3.7e-05
100_5_24,100,250,5,4724,3.6e-05
100_5_25,100,250,5,4319,3.7e-05
100_5_26,100,250,5,4663,4.1e-05
100_5_27,100,250,5,4094,3.6e-05
100_5_28,100,250,5,4405,3.5e-05
100_5_29,100,250,5,4160,3.6e-05
100_5_30,100,250,5,4567,3.4e-05
100_5_31,100,250,5,4209,3.6e-05
100_5_32,100,250,5,4265,3.6e-05
100_5_33,100,250,5,4829,3.5e-05
100_5_34,100,250,5,3799,3.8e-05
100_5_35,100,250,5,4680,3.6e-05
100_5_36,100,250,5,4049,3.9e-05
100_5_37,100,250,5,4299,3.6e-05
100_5_38,100,250,5,3646,3.4e-05
100_5_39,100,250,5,5044,3.7e-05
100_5_40,100,250,5,4925,3.5e-05
100_5_41,100,250,5,4428,3.8e-05
100_5_42,100,250,5,3996,4.9e-05
100_5_43,100,250,5,4210,3.8e-05
100_5_44,100,250,5,4178,4e-05
100_5_45,100,250,5,4619,3.6e-05
100_5_46,100,250,5,4414,3.6e-05
100_5_47,100,250,5,4191,3.7e-05
100_5_48,100,250,5,4694,3.7e-05
100_5_49,100,250,5,4167,3.6e-05
100_5_50,100,250,5,4332,3.5e-05
100_5_51,100,250,5,4703,3.8e-05
100_5_52,100,250,5,3833,3.5e-05
100_5_53,100,250,5,4412,3.6e-05
100_5_54,100,250,5,4256,3.9e-05
100_5_55,100,250,5,4572,3.5e-05
100_5_56,100,250,5,4078,3.8e-05
100_5_57,100,250,5,3906,3.6e-05
100_5_58,100,250,5,4212,3.5e-05
100_5_59,100,250,5,4364,3.9e-05
100_5_60,100,250,5,5021,3.7e-05
100_5_61,100,250,5,4691,3.8e-05
100_5_62,100,250,5,4566,3.6e-05
100_5_63,100,250,5,4539,3.5e-05
100_5_64,100,250,5,4224,3.7e-05
100_5_65,100,250,5,4207,3.7e-05
100_5_66,100,250,5,4091,3.7e-05
100_5_67,100,250,5,3967,3.8e-05
100_5_68,100,250,5,4422,3.8e-05
100_5_69,100,250,5,3657,3.8e-05
100_5_70,100,250,5,4601,3.8e-05
100_5_71,100,250,5,4668,3.6e-05
100_5_72,100,250,5,3600,4e-05
100_5_73,100,250,5,3871,4.3e-05
100_5_74,100,250,5,3968,3.7e-05
100_5_75,100,250,5,4202,4.6e-05
100_5_76,100,250,5,3951,3.8e-05
100_5_77,100,250,5,4234,3.8e-05
100_5_78,100,250,5,4364,3.6e-05
100_5_79,100,250,5,4933,4e-05
100_5_80,100,250,5,4226,3.6e-05
100_5_81,100,250,5,4891,3.8e-05
100_5_82,100,250,5,4020,3.7e-05
100_5_83,100,250,5,4864,3.5e-05
100_5_84,100,250,5,4792,3.7e-05
100_5_85,100,250,5,4560,3.5e-05
100_5_86,100,250,5,4513,3.8e-05
100_5_87,100,250,5,4545,3.8e-05
100_5_88,100,250,5,4300,3.4e-05
100_5_89,100,250,5,3873,3.6e-05
100_5_90,100,250,5,4055,3.6e-05
100_5_91,100,250,5,4357,3.6e-05
100_5_92,100,250,5,4832,3.5e-05
100_5_93,100,250,5,4183,3.4e-05
100_5_94,100,250,5,4158,3.7e-05
100_5_95,100,250,5,4390,3.9e-05
100_5_96,100,250,5,3774,3.7e-05
100_5_97,100,250,5,4877,3.7e-05
100_5_98,100,250,5,4563,3.7e-05
100_5_99,100,250,5,4293,3.7e-05
100_10_0,100,500,10,2263,6.7e-05
100_10_1,100,500,10,2298,6.3e-05
100_10_2,100,500,10,2257,7.6e-05
100_10_3,100,500,10,2716,6.3e-05
100_10_4,100,500,10,2255,6.6e-05
100_10_5,100,500,10,2385,6.2e-05
100_10_6,100,500,10,2191,0.000101
100_10_7,100,500,10,2300,0.000102
100_10_8,100,500,10,2157,8.2e-05
100_10_9,100,500,10,2324,7.6e-05
100_10_10,100,500,10,2260,6.5e-05
100_10_11,100,500,10,1891,6.5e-05
100_10_12,100,500,10,2229,6.7e-05
100_10_13,100,500,10,1899,6.6e-05
100_10_14,100,500,10,2377,6.3e-05
100_10_15,100,500,10,2709,6.5e-05
100_10_16,100,500,10,2528,6.5e-05
100_10_17,100,500,10,2101,7.8e-05
100_10_18,100,500,10,2191,6.7e-05
100_10_19,100,500,10,2195,6.4e-05
100_10_20,100,500,10,2313,6.5e-05
100_10_21,100,500,10,2533,7e-05
100_10_22,100,500,10,2243,6.6e-05
100_10_23,100,500,10,2591,6.3e-05
100_10_24,100,500,10,2076,6.2e-05
100_10_25,100,500,10,2271,6e-05
100_10_26,100,500,10,2554,6.2e-05
100_10_27,100,500,10,2626,6.2e-05
100_10_28,100,500,10,2118,6.4e-05
100_10_29,100,500,10,2189,6.4e-05
100_10_30,100,500,10,2431,6.4e-05
100_10_31,100,500,10,2402,6.3e-05
100_10_32,100,500,10,2326,6.4e-05
100_10_33,100,500,10,2139,6.1e-05
100_10_34,100,500,10,1826,6.1e-05
100_10_35,100,500,10,2455,6.1e-05
100_10_36,100,500,10,1903,6e-05
100_10_37,100,500,10,2494,6.7e-05
100_10_38,100,500,10,2647,5.9e-05
100_10_39,100,500,10,2619,6e-05
100_10_40,100,500,10,2294,6.1e-05
100_10_41,100,500,10,2411,6.5e-05
100_10_42,100,500,10,2234,6.2e-05
100_10_43,100,500,10,2384,6e-05
100_10_44,100,500,10,2318,6.1e-05
100_10_45,100,500,10,2463,6e-05
100_10_46,100,500,10,2495,5.8e-05
100_10_47,100,500,10,2494,5.9e-05
100_10_48,100,500,10,2427,6.8e-05
100_10_49,100,500,10,2135,5.9e-05
100_10_50,100,500,10,2641,7.1e-05
100_10_51,100,500,10,2110,6.7e-05
100_10_52,100,500,10,2459,7e-05
100_10_53,100,500,10,2030,6.2e-05
100_10_54,100,500,10,2296,6.2e-05
100_10_55,100,500,10,2039,8.3e-05
100_10_56,100,500,10,2190,6.3e-05
100_10_57,100,500,10,2255,6.6e-05
100_10_58,100,500,10,2659,6.4e-05
100_10_59,100,500,10,2233,6.6e-05
100_10_60,100,500,10,2202,6.5e-05
100_10_61,100,500,10,2346,7.2e-05
100_10_62,100,500,10,2250,6.4e-05
100_10_63,100,500,10,2028,6.1e-05
100_10_64,100,500,10,2358,6.3e-05
100_10_65,100,500,10,2132,6.8e-05
100_10_66,100,500,10,2126,6.6e-05
100_10_67,100,500,10,2361,6.8e-05
100_10_68,100,500,10,2147,6.6e-05
100_10_69,100,500,10,2355,6.6e-05
100_10_70,100,500,10,2518,6.5e-05
100_10_71,100,500,10,2544,6.2e-05
100_10_72,100,500,10,2134,6.4e-05
100_10_73,100,500,10,2435,6.5e-05
100_10_74,100,500,10,2700,6.2e-05
100_10_75,100,500,10,2503,6.2e-05
100_10_76,100,500,10,2795,6.6e-05
100_10_77,100,500,10,2296,6.1e-05
100_10_78,100,500,10,1950,6.4e-05
100_10_79,100,500,10,2170,6.2e-05
100_10_80,100,500,10,2392,6.3e-05
100_10_81,100,500,10,2209,6.4e-05
100_10_82,100,500,10,2170,6.1e-05
100_10_83,100,500,10,2455,6.2e-05
100_10_84,100,500,10,2557,6.1e-05
100_10_85,100,500,10,2198,6e-05
100_10_86,100,500,10,2142,6.6e-05
100_10_87,100,500,10,2249,6.4e-05
100_10_88,100,500,10,2469,6.2e-05
100_10_89,100,500,10,2665,6.3e-05
100_10_90,100,500,10,2068,7e-05
100_10_91,100,500,10,2303,6.2e-05
100_10_92,100,500,10,2273,6e-05
100_10_93,100,500,10,2069,5.8e-05
100_10_94,100,500,10,2228,7.5e-05
100_10_95,100,500,10,2426,6.3e-05
100_10_96,100,500,10,2218,6.6e-05
100_10_97,100,500,10,1929,6.8e-05
100_10_98,100,500,10,2378,6.1e-05
100_10_99,100,500,10,2178,6.7e-05
100_20_0,100,1000,20,1290,0.000122
100_20_1,100,1000,20,1166,0.00012
100_20_2,100,1000,20,1069,0.000116
100_20_3,100,1000,20,1130,0.000115
100_20_4,100,1000,20,1121,0.000107
100_20_5,100,1000,20,1383,0.000105
100_20_6,100,1000,20,1304,0.000105
100_20_7,100,1000,20,1171,0.000105
100_20_8,100,1000,20,1101,0.000105
100_20_9,100,1000,20,1495,0.000105
100_20_10,100,1000,20,1154,0.000104
100_20_11,100,1000,20,1403,0.000107
100_20_12,100,1000,20,1104,0.000108
100_20_13,100,1000,20,1230,0.00011
100_20_14,100,1000,20,940,0.000104
100_20_15,100,1000,20,1260,0.000105
100_20_16,100,1000,20,1285,0.000113
100_20_17,100,1000,20,1298,0.00011
100_20_18,100,1000,20,1251,0.00012
100_20_19,100,1000,20,1237,0.000131
100_20_20,100,1000,20,1132,0.000126
100_20_21,100,1000,20,1128,0.000117
100_20_22,100,1000,20,928,0.000107
100_20_23,100,1000,20,1041,0.000109
100_20_24,100,1000,20,1322,0.000106
100_20_25,100,1000,20,1155,0.00011
100_20_26,100,1000,20,1177,0.00012
100_20_27,100,1000,20,1306,0.000104
100_20_28,100,1000,20,1410,0.000117
100_20_29,100,1000,20,1195,0.00011
100_20_30,100,1000,20,1155,0.00011
100_20_31,100,1000,20,1188,0.000105
100_20_32,100,1000,20,1341,0.000106
100_20_33,100,1000,20,1144,0.000106
100_20_34,100,1000,20,1023,0.000103
100_20_35,100,1000,20,1234,0.000105
100_20_36,100,1000,20,1331,0.000117
100_20_37,100,1000,20,1069,0.000109
100_20_38,100,1000,20,1255,0.000122
100_20_39,100,1000,20,1455,0.000117
100_20_40,100,1000,20,1015,0.000137
100_20_41,100,1000,20,1365,0.000114
100_20_42,100,1000,20,1129,0.000123
100_20_43,100,1000,20,1072,0.000106
100_20_44,100,1000,20,1142,0.000111
100_20_45,100,1000,20,1291,0.00011
100_20_46,100,1000,20,1281,0.00011
100_20_47,100,1000,20,1204,0.000108
100_20_48,100,1000,20,1051,0.000105
100_20_49,100,1000,20,1214,0.000108
100_20_50,100,1000,20,1345,0.00011
100_20_51,100,1000,20,1295,0.000105
100_20_52,100,1000,20,1316,0.000106
100_20_53,100,1000,20,1203,0.000112
100_20_54,100,1000,20,1100,0.000113
100_20_55,100,1000,20,1397,0.00011
100_20_56,100,1000,20,1291,0.000104
100_20_57,100,1000,20,1166,0.000106
100_20_58,100,1000,20,1190,0.000104
100_20_59,100,1000,20,1211,0.000107
100_20_60,100,1000,20,1208,0.000107
100_20_61,100,1000,20,1230,0.00014
100_20_62,100,1000,20,1255,0.000113
100_20_63,100,1000,20,1236,0.000109
100_20_64,100,1000,20,849,0.000109
100_20_65,100,1000,20,1412,0.000108
100_20_66,100,1000,20,992,0.000102
100_20_67,100,1000,20,1279,0.000123
100_20_68,100,1000,20,1202,0.000107
100_20_69,100,1000,20,1148,0.000109
100_20_70,100,1000,20,932,0.000121
100_20_71,100,1000,20,1265,0.000128
100_20_72,100,1000,20,1234,0.000114
100_20_73,100,1000,20,1087,0.00011
100_20_74,100,1000,20,1284,0.000111
100_20_75,100,1000,20,1381,0.000105
100_20_76,100,1000,20,1044,0.000113
100_20_77,100,1000,20,1398,0.000106
100_20_78,100,1000,20,1106,0.000106
100_20_79,100,1000,20,1259,0.000107
100_20_80,100,1000,20,1390,0.000111
100_20_81,100,1000,20,1373,0.000118
100_20_82,100,1000,20,1113,0.000113
100_20_83,100,1000,20,1141,0.000114
100_20_84,100,1000,20,1071,0.00011
100_20_85,100,1000,20,1303,0.000123
100_20_86,100,1000,20,1090,0.000106
100_20_87,100,1000,20,1356,0.000108
100_20_88,100,1000,20,1137,0.000107
100_20_89,100,1000,20,1051,0.000107
100_20_90,100,1000,20,1282,0.000108
100_20_91,100,1000,20,1163,0.000118
100_20_92,100,1000,20,1076,0.000126
100_20_93,100,1000,20,1348,0.000107
100_20_94,100,1000,20,1252,0.000107
100_20_95,100,1000,20,993,0.000108
100_20_96,100,1000,20,1088,0.000105
100_20_97,100,1000,20,1195,0.000108
100_20_98,100,1000,20,1229,0.00011
100_20_99,100,1000,20,1181,0.00011
100_50_0,100,2500,50,482,0.000232
100_50_1,100,2500,50,540,0.00024
100_50_2,100,2500,50,584,0.000256
100_50_3,100,2500,50,523,0.000235
100_50_4,100,2500,50,485,0.000252
100_50_5,100,2500,50,469,0.000259
100_50_6,100,2500,50,592,0.000236
100_50_7,100,2500,50,556,0.000231
100_50_8,100,2500,50,578,0.000228
100_50_9,100,2500,50,491,0.00023
100_50_10,100,2500,50,518,0.000243
100_50_11,100,2500,50,477,0.00024
100_50_12,100,2500,50,468,0.000248
100_50_13,100,2500,50,510,0.000248
100_50_14,100,2500,50,542,0.000248
100_50_15,100,2500,50,509,0.000235
100_50_16,100,2500,50,504,0.000234
100_50_17,100,2500,50,497,0.000261
100_50_18,100,2500,50,453,0.00024
100_50_19,100,2500,50,513,0.000234
100_50_20,100,2500,50,488,0.000245
100_50_21,100,2500,50,574,0.000246
100_50_22,100,2500,50,517,0.000249
100_50_23,100,2500,50,619,0.000254
100_50_24,100,2500,50,509,0.000241
100_50_25,100,2500,50,520,0.000239
100_50_26,100,2500,50,444,0.000246
100_50_27,100,2500,50,557,0.000252
