filename , node, edge, degree, min_weight, time_in_sec 
ER_100_1_0,100,5000,0,21503,0.000688
ER_100_1_1,100,5004,0,21344,0.000684
ER_100_1_2,100,4995,0,23214,0.00067
ER_100_1_3,100,4992,0,22718,0.00065
ER_100_1_4,100,5006,0,21341,0.000795
ER_100_1_5,100,5001,0,19971,0.000642
ER_100_1_6,100,5008,0,20994,0.000653
ER_100_1_7,100,4999,0,21138,0.000633
ER_100_1_8,100,4996,0,20297,0.000698
ER_100_1_9,100,4994,0,22389,0.000646
ER_100_1_10,100,4997,0,22324,0.000636
ER_100_1_11,100,5005,0,19965,0.000685
ER_100_1_12,100,4999,0,22424,0.00069
ER_100_1_13,100,4991,0,21049,0.0007
ER_100_1_14,100,4995,0,20344,0.000662
ER_100_1_15,100,4995,0,20577,0.000678
ER_100_1_16,100,4994,0,20368,0.000885
ER_100_1_17,100,4992,0,21976,0.000651
ER_100_1_18,100,5006,0,21158,0.000725
ER_100_1_19,100,4995,0,23037,0.000697
ER_100_1_20,100,4992,0,21605,0.00065
ER_100_1_21,100,5003,0,24266,0.000637
ER_100_1_22,100,5010,0,22124,0.000665
ER_100_1_23,100,5004,0,23045,0.000701
ER_100_1_24,100,4999,0,22121,0.000683
ER_100_1_25,100,5002,0,19483,0.000631
ER_100_1_26,100,4994,0,23091,0.00068
ER_100_1_27,100,5000,0,24112,0.000646
ER_100_1_28,100,5001,0,21513,0.000891
ER_100_1_29,100,5004,0,21460,0.000688
ER_100_1_30,100,5013,0,21198,0.000668
ER_100_1_31,100,4996,0,23326,0.000663
ER_100_1_32,100,4992,0,21521,0.000637
ER_100_1_33,100,4999,0,21388,0.000702
ER_100_1_34,100,5000,0,24161,0.000665
ER_100_1_35,100,5013,0,21426,0.000695
ER_100_1_36,100,4980,0,18748,0.000631
ER_100_1_37,100,4992,0,21215,0.000647
ER_100_1_38,100,5001,0,19598,0.000634
ER_100_1_39,100,4994,0,21125,0.00069
ER_100_1_40,100,5002,0,23830,0.00069
ER_100_1_41,100,5001,0,21593,0.000632
ER_100_1_42,100,4987,0,20013,0.000649
ER_100_1_43,100,5001,0,20710,0.000656
ER_100_1_44,100,4995,0,20519,0.000696
ER_100_1_45,100,5006,0,20892,0.000686
ER_100_1_46,100,4995,0,23789,0.000666
ER_100_1_47,100,4997,0,22182,0.000686
ER_100_1_48,100,5003,0,21520,0.00064
ER_100_1_49,100,4998,0,22669,0.000636
ER_100_1_50,100,5001,0,21619,0.000672
