filename , node, edge, degree, min_weight, time_in_sec 
ER_100_1_0,100,5000,0,21963,0.000117
ER_100_1_1,100,5004,0,21344,9.2e-05
ER_100_1_2,100,4995,0,23220,0.000104
ER_100_1_3,100,4992,0,23157,0.000105
ER_100_1_4,100,5006,0,21443,8.4e-05
ER_100_1_5,100,5001,0,20157,0.00011
ER_100_1_6,100,5008,0,21584,8e-05
ER_100_1_7,100,4999,0,21351,8.3e-05
ER_100_1_8,100,4996,0,20359,0.000121
ER_100_1_9,100,4994,0,22717,7.9e-05
ER_100_1_10,100,4997,0,22349,0.000102
ER_100_1_11,100,5005,0,20178,7.3e-05
ER_100_1_12,100,4999,0,22647,0.00011
ER_100_1_13,100,4991,0,21257,8.8e-05
ER_100_1_14,100,4995,0,20635,9e-05
ER_100_1_15,100,4995,0,20668,0.000131
ER_100_1_16,100,4994,0,20368,7.8e-05
ER_100_1_17,100,4992,0,22329,0.000142
ER_100_1_18,100,5006,0,21300,7.5e-05
ER_100_1_19,100,4995,0,23449,8.3e-05
ER_100_1_20,100,4992,0,21999,7.4e-05
ER_100_1_21,100,5003,0,24493,0.000106
ER_100_1_22,100,5010,0,22246,0.000106
ER_100_1_23,100,5004,0,23240,8.3e-05
ER_100_1_24,100,4999,0,22328,8.1e-05
ER_100_1_25,100,5002,0,19522,8.1e-05
ER_100_1_26,100,4994,0,23452,0.000102
ER_100_1_27,100,5000,0,24268,9.5e-05
ER_100_1_28,100,5001,0,21856,8.5e-05
ER_100_1_29,100,5004,0,21460,8.5e-05
ER_100_1_30,100,5013,0,21221,8.4e-05
ER_100_1_31,100,4996,0,23326,8.4e-05
ER_100_1_32,100,4992,0,21958,9.8e-05
ER_100_1_33,100,4999,0,21737,8.1e-05
ER_100_1_34,100,5000,0,24161,0.000104
ER_100_1_35,100,5013,0,21595,7.5e-05
ER_100_1_36,100,4980,0,18748,8.4e-05
ER_100_1_37,100,4992,0,21428,7.3e-05
ER_100_1_38,100,5001,0,19991,0.000107
ER_100_1_39,100,4994,0,21681,0.000117
ER_100_1_40,100,5002,0,23900,7.8e-05
ER_100_1_41,100,5001,0,22032,8e-05
ER_100_1_42,100,4987,0,20013,7.4e-05
ER_100_1_43,100,5001,0,20841,7.7e-05
ER_100_1_44,100,4995,0,20724,0.000102
ER_100_1_45,100,5006,0,20892,7.8e-05
ER_100_1_46,100,4995,0,23939,9.1e-05
ER_100_1_47,100,4997,0,22354,8.7e-05
ER_100_1_48,100,5003,0,21637,7.8e-05
ER_100_1_49,100,4998,0,22669,0.000103
ER_100_1_50,100,5001,0,21956,0.000101
ER_100_1_51,100,5004,0,21782,0.000109
ER_100_1_52,100,5000,0,20015,8.8e-05
ER_100_1_53,100,4997,0,24187,7.9e-05
ER_100_1_54,100,5005,0,22185,9.9e-05
ER_100_1_55,100,5006,0,22007,9.8e-05
ER_100_1_56,100,4999,0,23430,9.2e-05
ER_100_1_57,100,5000,0,21191,9.1e-05
ER_100_1_58,100,5005,0,24067,0.000101
ER_100_1_59,100,5000,0,20835,8.9e-05
ER_100_1_60,100,5005,0,23433,7.4e-05
ER_100_1_61,100,5001,0,22885,0.000108
ER_100_1_62,100,5003,0,23239,7.6e-05
ER_100_1_63,100,5009,0,23486,0.0001
ER_100_1_64,100,5002,0,19917,8e-05
ER_100_1_65,100,4997,0,20902,7.4e-05
ER_100_1_66,100,5003,0,21897,7.4e-05
ER_100_1_67,100,5000,0,20609,0.000157
ER_100_1_68,100,4993,0,21309,0.000146
ER_100_1_69,100,5005,0,23049,8.3e-05
ER_100_1_70,100,5006,0,21908,8.3e-05
ER_100_1_71,100,4998,0,23655,8.1e-05
ER_100_1_72,100,4992,0,21992,0.000106
ER_100_1_73,100,5009,0,20087,0.000122
ER_100_1_74,100,4985,0,21220,8.1e-05
ER_100_1_75,100,5006,0,22465,7.9e-05
ER_100_1_76,100,4995,0,22079,7.6e-05
ER_100_1_77,100,4997,0,22506,0.000103
ER_100_1_78,100,4987,0,19904,9.9e-05
ER_100_1_79,100,4989,0,22831,8.2e-05
ER_100_1_80,100,5002,0,21449,9.7e-05
ER_100_1_81,100,5004,0,22595,8.2e-05
ER_100_1_82,100,5009,0,18261,8.1e-05
ER_100_1_83,100,5001,0,22186,0.000105
ER_100_1_84,100,5008,0,21685,8.9e-05
ER_100_1_85,100,5005,0,21321,0.00013
ER_100_1_86,100,4990,0,20788,8.7e-05
ER_100_1_87,100,5001,0,21102,7.7e-05
ER_100_1_88,100,5010,0,21528,7.8e-05
ER_100_1_89,100,5005,0,20264,0.000105
ER_100_1_90,100,4991,0,22274,0.000103
ER_100_1_91,100,5013,0,21600,7.6e-05
ER_100_1_92,100,4993,0,20735,7.4e-05
ER_100_1_93,100,4989,0,21597,7.5e-05
ER_100_1_94,100,5007,0,23067,8.3e-05
ER_100_1_95,100,4993,0,19946,0.000104
ER_100_1_96,100,4984,0,24370,9.1e-05
ER_100_1_97,100,4991,0,24089,0.000106
ER_100_1_98,100,5003,0,20997,8.7e-05
ER_100_1_99,100,5009,0,21937,7.6e-05
ER_100_5_0,100,4806,0,21450,0.000106
ER_100_5_1,100,4813,0,23746,7.7e-05
ER_100_5_2,100,4823,0,23523,0.000122
ER_100_5_3,100,4803,0,22088,7.9e-05
ER_100_5_4,100,4808,0,23355,7.5e-05
ER_100_5_5,100,4796,0,24832,8e-05
ER_100_5_6,100,4781,0,24213,0.000104
ER_100_5_7,100,4800,0,24557,0.00011
ER_100_5_8,100,4803,0,21946,8.1e-05
ER_100_5_9,100,4823,0,22965,7.8e-05
ER_100_5_10,100,4813,0,20556,8.4e-05
ER_100_5_11,100,4812,0,23310,0.000104
ER_100_5_12,100,4801,0,23842,0.000116
ER_100_5_13,100,4773,0,22034,7.9e-05
ER_100_5_14,100,4808,0,22108,7.6e-05
ER_100_5_15,100,4812,0,22749,8.7e-05
ER_100_5_16,100,4797,0,21300,7.6e-05
ER_100_5_17,100,4805,0,22929,0.000105
ER_100_5_18,100,4778,0,23402,8.5e-05
ER_100_5_19,100,4806,0,24085,7.6e-05
ER_100_5_20,100,4836,0,22624,9.7e-05
ER_100_5_21,100,4807,0,23904,8.1e-05
ER_100_5_22,100,4794,0,22805,8e-05
ER_100_5_23,100,4810,0,24129,0.000107
ER_100_5_24,100,4795,0,26281,9.7e-05
ER_100_5_25,100,4801,0,21731,9.8e-05
ER_100_5_26,100,4828,0,22764,8.9e-05
ER_100_5_27,100,4790,0,21181,8.1e-05
ER_100_5_28,100,4802,0,21652,8.1e-05
ER_100_5_29,100,4786,0,23190,0.000107
ER_100_5_30,100,4810,0,22248,8.8e-05
ER_100_5_31,100,4811,0,21950,8.4e-05
ER_100_5_32,100,4805,0,21152,0.00012
ER_100_5_33,100,4827,0,24110,7.9e-05
ER_100_5_34,100,4813,0,23318,7.5e-05
ER_100_5_35,100,4800,0,25729,0.000116
ER_100_5_36,100,4792,0,19776,7.5e-05
ER_100_5_37,100,4808,0,21195,0.000126
ER_100_5_38,100,4815,0,22764,8e-05
ER_100_5_39,100,4806,0,19810,7.5e-05
ER_100_5_40,100,4810,0,21734,8.4e-05
ER_100_5_41,100,4805,0,20752,0.000114
ER_100_5_42,100,4799,0,21534,0.000137
ER_100_5_43,100,4783,0,22215,9.2e-05
ER_100_5_44,100,4806,0,20218,8.5e-05
ER_100_5_45,100,4802,0,20233,7.6e-05
ER_100_5_46,100,4800,0,20771,7.4e-05
ER_100_5_47,100,4812,0,23434,0.000107
ER_100_5_48,100,4792,0,21747,8.1e-05
ER_100_5_49,100,4825,0,20946,8.8e-05
ER_100_5_50,100,4816,0,22205,0.000104
ER_100_5_51,100,4809,0,22209,8e-05
ER_100_5_52,100,4787,0,22073,7.7e-05
ER_100_5_53,100,4799,0,22422,0.000113
ER_100_5_54,100,4816,0,25398,8.4e-05
ER_100_5_55,100,4797,0,21102,0.000114
ER_100_5_56,100,4797,0,21773,7.6e-05
ER_100_5_57,100,4801,0,22636,8.1e-05
ER_100_5_58,100,4822,0,22048,7.5e-05
ER_100_5_59,100,4809,0,24750,0.000125
ER_100_5_60,100,4785,0,23218,0.000112
ER_100_5_61,100,4825,0,21524,0.000103
ER_100_5_62,100,4820,0,21162,9.6e-05
ER_100_5_63,100,4788,0,22217,9.9e-05
ER_100_5_64,100,4797,0,19694,8.6e-05
ER_100_5_65,100,4823,0,21270,0.000103
ER_100_5_66,100,4812,0,20999,8.8e-05
ER_100_5_67,100,4818,0,21586,0.000107
ER_100_5_68,100,4795,0,24426,8.1e-05
ER_100_5_69,100,4804,0,23902,7.5e-05
ER_100_5_70,100,4797,0,20767,7.9e-05
ER_100_5_71,100,4800,0,25253,0.000104
ER_100_5_72,100,4826,0,22674,0.000102
ER_100_5_73,100,4819,0,22729,8.3e-05
ER_100_5_74,100,4799,0,20822,7.5e-05
ER_100_5_75,100,4827,0,21663,7.8e-05
ER_100_5_76,100,4812,0,22660,7.5e-05
ER_100_5_77,100,4793,0,23148,0.000109
ER_100_5_78,100,4812,0,21156,8.1e-05
ER_100_5_79,100,4802,0,22051,7.4e-05
ER_100_5_80,100,4793,0,23430,0.000118
ER_100_5_81,100,4795,0,22996,7.5e-05
ER_100_5_82,100,4772,0,19381,7.5e-05
ER_100_5_83,100,4798,0,21772,0.000104
ER_100_5_84,100,4788,0,21488,8.7e-05
ER_100_5_85,100,4802,0,23326,0.000139
ER_100_5_86,100,4798,0,21454,0.000125
ER_100_5_87,100,4818,0,20293,0.000111
ER_100_5_88,100,4796,0,24527,0.000155
ER_100_5_89,100,4795,0,20507,0.000138
ER_100_5_90,100,4808,0,23691,0.0001
ER_100_5_91,100,4780,0,22447,8.5e-05
ER_100_5_92,100,4800,0,21818,0.000107
ER_100_5_93,100,4794,0,21428,8.3e-05
ER_100_5_94,100,4807,0,22325,0.000105
ER_100_5_95,100,4806,0,22127,9.1e-05
ER_100_5_96,100,4823,0,25128,7.6e-05
ER_100_5_97,100,4807,0,21401,0.000107
